id_berita;id_kalimat;kuantitas;isValid
15;579;berbayar;0
3;94;12 kali;1
3;95;ketiga;1
3;96;Tidak Ada;2
3;97;Tidak Ada;1
15;590;Tidak Ada;1
15;579;Tidak Ada;1
15;580;Tidak Ada;2
15;581;Rerata;2
15;583;Tidak Ada;2
15;587;Tidak Ada;2
15;588;Tidak Ada;1
3;92;Tidak Ada;1
3;93;Tidak Ada;1
3;94;Tidak Ada;2
3;95;Tidak Ada;2
3;96;Tidak Ada;2
3;97;Tidak Ada;2
3;98;10;2
23;851;Tidak Ada;2
3;99;Tidak Ada;2
3;100;Tidak Ada;2
3;101;Tidak Ada;2
3;102;Tidak Ada;2
3;103;Tidak Ada;2
3;104;135;2
3;104;46;2
3;104;89;2
3;105;Tidak Ada;2
3;106;15;2
15;590;Tidak Ada;2
15;579;Tidak Ada;2
3;107;13;2
15;580;Tidak Ada;2
15;581;20.927;2
15;583;Tidak Ada;2
3;108;20;2
3;108;10;2
3;109;Tidak Ada;2
15;587;Tidak Ada;2
3;110;Tidak Ada;2
15;588;Tidak Ada;2
3;111;Tidak Ada;2
3;92;Tidak Ada;2
3;112;Tidak Ada;2
3;113;Tidak Ada;2
3;114;Tidak Ada;2
3;115;Tidak Ada;2
3;116;Tidak Ada;2
3;117;Tidak Ada;2
3;118;Tidak Ada;2
109;4445;Tidak Ada;2
109;4446;Tidak Ada;2
109;4447;Tidak Ada;2
21;777;Tidak Ada;1
21;778;Tidak Ada;1
21;779;Tidak Ada;1
21;780;14;1
21;781;Tidak Ada;1
21;782;Tidak Ada;1
21;783;dua;2
21;784;sekitar setengah orang;1
21;784;Tidak Ada;1
21;785;80;1
21;786;Tidak Ada;1
21;787;Tidak Ada;1
21;788;Tidak Ada;1
21;789;Tidak Ada;1
21;790;Tidak Ada;1
21;791;1980;1
21;792;Tidak Ada;1
21;793;Tidak Ada;1
21;794;Tidak Ada;1
21;795;Tidak Ada;1
21;796;Tidak Ada;1
21;797;Tidak Ada;1
21;798;Tidak Ada;1
21;799;Tidak Ada;1
