id_event;id_berita;id_kalimat;nama_event;isValid
1;15;590;Tidak Ada;1
2;15;579;Tidak Ada;1
3;15;580;Tidak Ada;1
4;15;581;Tidak Ada;1
5;15;583;Tidak Ada;1
6;15;587;Tidak Ada;0
7;15;588;Tidak Ada;1
8;15;590;Twitter,;0
9;3;92;Honda Jazz Brio Tuning Contest;1
10;3;93;Honda Jazz Tuning Contest;1
11;3;93;Honda Brio Tuning Contest;1
12;3;94;Honda Jazz Tuning Contest \(JTC\);1
13;15;579;Tidak Ada;1
14;3;95;Honda Brio Tuning Contest \(BTC\);1
15;3;96;Honda Jazz Brio Tuning Contest \(JBTC\);1
16;3;97;Tidak Ada;1
17;15;590;Tidak Ada;1
18;15;579;Tidak Ada;1
19;15;580;Tidak Ada;1
20;15;581;Tidak Ada;1
21;15;583;Tidak Ada;1
22;15;587;Survei;2
23;15;588;Tidak Ada;1
24;3;92;Honda Jazz Brio Tuning Contest 2017;1
25;3;93;Honda Jazz Tuning Contest dan Honda Brio Tuning Contest 2017;2
26;3;94;Honda Jazz Tuning Contest \(JTC\);1
27;3;95;Honda Brio Tuning Contest \(BTC\);1
28;3;96;Honda Jazz Brio Tuning Contest \(JBTC\);1
29;3;97;Tidak Ada;1
30;23;851;balap MotoGP;2
31;3;98;Tidak Ada;1
32;3;99;Tidak Ada;1
33;3;100;Honda Jazz Brio Tuning Contest;1
34;3;101;Tidak Ada;2
35;3;102;Tidak Ada;1
36;3;103;Tidak Ada;1
37;3;104;Tidak Ada;1
38;3;105;Tidak Ada;1
39;15;590;Tidak Ada;1
40;3;106;Tidak Ada;1
41;15;579;Tidak Ada;1
42;15;580;Tidak Ada;1
43;15;581;Tidak Ada;1
44;3;107;Tidak Ada;1
45;15;583;Tidak Ada;1
46;3;108;Tidak Ada;1
47;3;109;Tidak Ada;1
48;15;587;Tidak Ada;2
49;3;110;Tidak Ada;1
50;15;588;Tidak Ada;1
51;3;111;Tidak Ada;1
52;3;92;Honda Jazz Brio Tuning Contest 2017\.;2
53;3;112;Tidak Ada;1
54;3;113;Tidak Ada;1
55;3;114;Tidak Ada;1
56;3;115;Tidak Ada;2
57;3;116;Tidak Ada;1
58;3;117;Tidak Ada;1
59;3;118;Tidak Ada;2
60;109;4445;Tidak Ada;2
61;109;4446;Tidak Ada;1
62;109;4447;Tidak Ada;2
63;21;777;Tidak Ada;1
64;21;778;Tidak Ada;1
65;21;779;Tidak Ada;1
66;21;780;Tidak Ada;1
67;21;781;Tidak Ada;1
68;21;782;Tidak Ada;1
69;21;783;Tidak Ada;1
70;21;784;Tidak Ada;1
71;21;785;Tidak Ada;1
72;21;786;Tidak Ada;1
73;21;787;Tidak Ada;1
74;21;788;Tidak Ada;1
75;21;789;Tidak Ada;1
76;21;790;Tidak Ada;1
77;21;791;Tidak Ada;1
78;21;792;Tidak Ada;1
79;21;793;Tidak Ada;1
80;21;794;Tidak Ada;1
81;21;795;Tidak Ada;1
82;21;796;Tidak Ada;1
83;21;797;Tidak Ada;1
84;21;798;Tidak Ada;1
85;21;799;Tidak Ada;1
86;21;800;Tidak Ada;1
87;21;801;Tidak Ada;1
88;21;802;Tidak Ada;1
89;23;852;MotoGP;1
90;23;853;Tidak Ada;1
91;23;854;Moto2;1
92;23;854;Moto3;1
93;23;855;MotoGP;1
94;23;856;Tidak Ada;1
95;23;857;kelas 500cc;0
96;23;858;Tidak Ada;1
97;23;859;Tidak Ada;1
98;23;860;Tidak Ada;1
99;109;4445;Tolerance Film Festival;1
100;109;4446;Tidak Ada;1
101;109;4447;Tidak Ada;1
102;109;4448;Perang Dunia II;1
103;109;4449;Tidak Ada;1
104;109;4450;Tidak Ada;1
105;23;861;Tidak Ada;1
106;109;4451;Tidak Ada;1
107;109;4452;Tidak Ada;1
108;109;4453;Tidak Ada;1
109;23;862;Tidak Ada;1
110;23;863;Grand Prix;1
111;23;864;Tidak Ada;1
112;23;865;Tidak Ada;1
113;23;866;Tidak Ada;1
114;23;867;Tidak Ada;1
115;23;868;Tidak Ada;1
116;23;869;Tidak Ada;1
117;35;1566;Mars 2020;0
118;35;1567;dokumentasi wilayah;0
119;35;1567;penjelajahan area baru;0
120;35;1568;foto;0
121;35;1569;dokumentasi;0
122;197;8572;Tidak Ada;1
123;22;842;Tidak Ada;1
124;22;843;Tidak Ada;1
125;22;844;Tidak Ada;1
126;22;845;Tidak Ada;1
127;22;846;Tidak Ada;1
128;23;870;Tidak Ada;1
129;197;8572;Tidak Ada;1
130;197;8573;Tidak Ada;1
131;197;8574;Tidak Ada;1
132;23;871;Tidak Ada;1
133;23;872;Tidak Ada;1
134;197;8575;Tidak Ada;1
135;197;8578;Tidak Ada;2
136;197;8579;Tidak Ada;1
137;197;8580;Tidak Ada;1
138;197;8581;Tidak Ada;1
139;22;847;Tidak Ada;1
140;23;873;Tidak Ada;1
141;22;848;Tidak Ada;1
142;22;849;Tidak Ada;1
143;100;4134;Tidak Ada;2
144;23;874;Tidak Ada;1
145;22;850;Tidak Ada;1
146;199;8666;kampanye;2
147;199;8667;memperingati Hari Anak Internasional;0
148;199;8668;Kampanye;2
149;199;8669;Badan Perserikatan Bangsa-Bangsa \(PBB\) ini mengundang anak dari seluruh dunia;0
150;199;8670;Tidak Ada;1
151;199;8671;Tidak Ada;1
152;199;8672;kampanye;2
153;199;8673;Tidak Ada;1
154;199;8674;Kampanye;2
155;199;8675;safari;2
156;199;8676;Tidak Ada;1
157;199;8677;Tidak Ada;2
158;22;810;Tidak Ada;2
159;199;8678;Tidak Ada;1
160;199;8679;Tidak Ada;2
161;199;8680;Gerakan Stop Perkawinan Anak;2
162;199;8681;Tidak Ada;1
163;199;8682;Tidak Ada;1
164;199;8683;Tidak Ada;1
165;199;8684;mempelajari data perkawinan anak \(dini\) di Indonesia\.;2
166;199;8685;Tidak Ada;2
167;199;8686;Tidak Ada;2
168;199;8687;Tidak Ada;1
169;199;8688;Tidak Ada;1
170;199;8689;Tidak Ada;1
171;199;8690;Tidak Ada;1
172;199;8691;Tidak Ada;1
173;199;8692;Tidak Ada;1
174;199;8693;Tidak Ada;1
175;199;8694;Tidak Ada;1
176;199;8695;Tidak Ada;1
177;22;811;Tidak Ada;1
178;199;8696;Tidak Ada;1
179;22;812;Tidak Ada;1
180;22;813;kampanye Pilkada 2017;0
181;199;8697;Tidak Ada;2
182;199;8698;Tidak Ada;2
183;199;8699;Tidak Ada;2
184;22;814;Tidak Ada;2
185;199;8700;Tidak Ada;2
186;199;8701;Tidak Ada;2
187;199;8702;Tidak Ada;2
188;199;8703;Tidak Ada;2
189;199;8704;Tidak Ada;2
190;22;815;Tidak Ada;2
191;199;8705;Tidak Ada;2
192;199;8706;Tidak Ada;2
193;199;8707;Tidak Ada;2
194;199;8708;Tidak Ada;2
195;199;8709;Tidak Ada;2
196;199;8710;Tidak Ada;2
197;199;8711;Tidak Ada;2
198;199;8712;Tidak Ada;2
199;199;8713;Tidak Ada;2
200;22;816;Tidak Ada;2
201;199;8714;Tidak Ada;2
202;22;817;Tidak Ada;2
203;199;8715;Tidak Ada;2
204;199;8716;Tidak Ada;2
205;199;8717;Tidak Ada;2
206;199;8718;Tidak Ada;2
207;199;8719;Tidak Ada;2
208;199;8720;Tidak Ada;2
209;199;8721;Tidak Ada;2
210;199;8722;Kampanye;2
211;199;8723;Tidak Ada;2
212;199;8724;Tidak Ada;2
213;199;8725;Tidak Ada;2
214;199;8726;Hari Anak Internasional;2
215;199;8727;Indonesia Layak Anak 2030;2
216;215;9293;Tidak Ada;2
217;22;818;Tidak Ada;2
218;22;819;Tidak Ada;2
219;199;8666;kampanye;2
220;199;8667;Hari Anak Internasional;2
221;199;8668;kampanye;2
222;199;8669;Tidak Ada;2
223;215;9263;Tidak Ada;2
224;199;8670;Tidak Ada;2
225;215;9264;Tidak Ada;2
226;199;8671;Tidak Ada;2
