id_waktu;id_berita;id_kalimat;waktu;isValid
1;15;590;Tidak Ada;1
2;3;92;2017;1
3;3;93;Kamis (9/11);1
4;3;93;Minggu (12/11/2017);1
5;3;94;2005;1
6;15;579;Tidak Ada;1
7;3;95;2015;1
8;3;96;Tidak Ada;1
9;3;97;Tidak Ada;1
10;15;590;Tidak Ada;1
11;15;579;Tidak Ada;1
12;15;580;Tidak Ada;1
13;15;581;Tidak Ada;1
14;15;583;Tidak Ada;1
15;15;587;Maret 2016;1
16;15;588;Tidak Ada;1
17;3;92;Tidak Ada;2
18;3;93;Kamis (9/11);1
19;3;93;Minggu (12/11/2017);1
20;3;94;2005;1
21;3;94;kali pertama;2
22;3;95;tahun yang ketiga;2
23;3;95;pertama kali;2
24;3;96;tiga tahun terakhir;2
25;3;97;Tidak Ada;2
26;3;98;tahun-tahun sebelumnya;2
27;23;851;Minggu (12/11/2017);1
28;3;99;tahun ini;2
29;3;100;Kamis (9/11);1
30;3;101;Tidak Ada;2
31;3;102;Tidak Ada;2
32;3;103;Tidak Ada;2
33;3;104;Tidak Ada;2
34;3;105;Tidak Ada;2
35;15;590;Tidak Ada;2
36;3;106;Tidak Ada;2
37;15;579;Tidak Ada;2
38;15;580;Tidak Ada;2
39;15;581;Tidak Ada;2
40;3;107;Tidak Ada;2
41;3;108;Setelah;2
42;15;583;Tidak Ada;2
43;3;109;Tidak Ada;2
44;3;110;Sabtu (11/11);2
45;15;587;Maret 2016;2
46;15;588;Tidak Ada;2
47;3;111;Tidak Ada;2
48;3;92;2017;2
49;3;112;Tidak Ada;2
50;3;113;Tidak Ada;2
51;3;114;Tidak Ada;2
52;3;115;Tidak Ada;2
53;3;116;Tidak Ada;2
54;3;117;Tidak Ada;2
55;3;118;Tidak Ada;2
56;109;4445;Selasa (14/11/2017);2
57;109;4446;Tidak Ada;2
58;109;4447;Tidak Ada;2
59;21;777;Tidak Ada;2
60;21;778;Tidak Ada;2
61;21;779;Tidak Ada;2
62;21;780;Tidak Ada;2
63;21;781;Tidak Ada;2
64;21;782;Tidak Ada;2
65;21;783;7 dan 8 November 2017;2
66;21;784;Tidak Ada;2
67;21;785;Tidak Ada;2
68;21;786;Tidak Ada;2
69;21;787;Tidak Ada;2
70;21;788;Tidak Ada;2
71;21;789;Tidak Ada;2
72;21;790;Tidak Ada;2
73;21;791;tahun 1980;2
74;21;792;Tidak Ada;2
