"id_event";"id_berita";"id_kalimat";"nama_event";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"1";"2";"2017-11-17";"16:48:54"
"2";"15";"579";"Tidak Ada";"1";"2";"2017-11-17";"16:58:59"
"3";"15";"580";"Tidak Ada";"1";"2";"2017-11-17";"17:03:11"
"4";"15";"581";"Tidak Ada";"1";"2";"2017-11-17";"17:04:15"
"5";"15";"583";"Tidak Ada";"1";"2";"2017-11-17";"17:05:42"
"6";"15";"587";"Tidak Ada";"0";"2";"2017-11-17";"17:10:21"
"7";"15";"588";"Tidak Ada";"1";"2";"2017-11-17";"17:12:53"
"8";"15";"590";"Twitter,";"0";"4";"2017-11-18";"13:05:42"
"9";"3";"92";"Honda Jazz Brio Tuning Contest";"1";"2";"2017-11-23";"14:11:47"
"10";"3";"93";"Honda Jazz Tuning Contest";"1";"2";"2017-11-27";"14:07:55"
"11";"3";"93";"Honda Brio Tuning Contest";"1";"2";"2017-11-27";"14:08:16"
"12";"3";"94";"Honda Jazz Tuning Contest \(JTC\)";"1";"2";"2017-11-28";"15:39:42"
"13";"15";"579";"Tidak Ada";"1";"4";"2017-12-01";"02:52:29"
"14";"3";"95";"Honda Brio Tuning Contest \(BTC\)";"1";"2";"2017-12-04";"15:52:36"
"15";"3";"96";"Honda Jazz Brio Tuning Contest \(JBTC\)";"1";"2";"2017-12-04";"15:55:49"
"16";"3";"97";"Tidak Ada";"1";"2";"2017-12-04";"15:56:49"
"17";"15";"590";"Tidak Ada";"1";"48";"2018-08-24";"02:12:23"
"18";"15";"579";"Tidak Ada";"1";"48";"2018-08-24";"02:15:50"
"19";"15";"580";"Tidak Ada";"1";"48";"2018-08-24";"02:18:06"
"20";"15";"581";"Tidak Ada";"1";"48";"2018-08-24";"02:21:55"
"21";"15";"583";"Tidak Ada";"1";"48";"2018-08-24";"02:25:09"
"22";"15";"587";"Survei";"2";"48";"2018-08-24";"02:29:55"
"23";"15";"588";"Tidak Ada";"1";"48";"2018-08-24";"02:33:04"
"24";"3";"92";"Honda Jazz Brio Tuning Contest 2017";"1";"48";"2018-08-24";"02:40:20"
"25";"3";"93";"Honda Jazz Tuning Contest dan Honda Brio Tuning Contest 2017";"2";"48";"2018-08-24";"02:43:27"
"26";"3";"94";"Honda Jazz Tuning Contest \(JTC\)";"1";"48";"2018-08-24";"02:48:43"
"27";"3";"95";"Honda Brio Tuning Contest \(BTC\)";"1";"48";"2018-08-24";"02:52:43"
"28";"3";"96";"Honda Jazz Brio Tuning Contest \(JBTC\)";"1";"48";"2018-08-24";"02:56:30"
"29";"3";"97";"Tidak Ada";"1";"48";"2018-08-24";"02:59:08"
"30";"23";"851";"balap MotoGP";"2";"35";"2018-08-24";"19:35:06"
"31";"3";"98";"Tidak Ada";"1";"48";"2018-08-24";"20:45:42"
"32";"3";"99";"Tidak Ada";"1";"48";"2018-08-24";"20:48:20"
"33";"3";"100";"Honda Jazz Brio Tuning Contest";"1";"48";"2018-08-24";"20:49:17"
"34";"3";"101";"Tidak Ada";"2";"48";"2018-08-24";"20:54:21"
"35";"3";"102";"Tidak Ada";"1";"48";"2018-08-24";"20:56:42"
"36";"3";"103";"Tidak Ada";"1";"48";"2018-08-24";"20:59:30"
"37";"3";"104";"Tidak Ada";"1";"48";"2018-08-24";"21:03:06"
"38";"3";"105";"Tidak Ada";"1";"48";"2018-08-24";"22:11:56"
"39";"15";"590";"Tidak Ada";"1";"32";"2018-08-24";"22:53:59"
"40";"3";"106";"Tidak Ada";"1";"48";"2018-08-24";"23:37:29"
"41";"15";"579";"Tidak Ada";"1";"32";"2018-08-24";"23:37:44"
"42";"15";"580";"Tidak Ada";"1";"32";"2018-08-24";"23:40:27"
"43";"15";"581";"Tidak Ada";"1";"32";"2018-08-24";"23:42:57"
"44";"3";"107";"Tidak Ada";"1";"48";"2018-08-24";"23:43:54"
"45";"15";"583";"Tidak Ada";"1";"32";"2018-08-24";"23:46:32"
"46";"3";"108";"Tidak Ada";"1";"48";"2018-08-24";"23:46:34"
"47";"3";"109";"Tidak Ada";"1";"48";"2018-08-24";"23:48:46"
