"id_geolokasi";"id_berita";"id_kalimat";"desa";"kota";"kabupaten";"propinsi";"negara";"nama_tempat";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:49:01"
"2";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"16:58:47"
"3";"15";"580";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kepulauan Riau";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:02:12"
"4";"15";"581";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kepri";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:04:00"
"5";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Utara";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:05:07"
"6";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Timur";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:05:19"
"7";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"DKI Jakarta";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:05:30"
"8";"15";"587";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Nusa Tenggara Timur";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:10:09"
"9";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"NTT";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:12:11"
"10";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Aceh";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:12:26"
"11";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Bali";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-17";"17:12:36"
"12";"3";"92";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-11-23";"14:10:25"
"13";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"4";"2017-11-28";"11:19:22"
"14";"3";"93";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Jakarta";"Tidak Ada";"Atrium Mal Taman Anggrek";"1";"2";"2";"2017-11-28";"12:58:37"
"15";"3";"94";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Indonesia";"Tidak Ada";"1";"2";"2";"2017-12-04";"15:49:00"
"16";"3";"95";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-12-04";"15:51:30"
"17";"3";"96";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-12-04";"15:55:28"
"18";"3";"97";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"2";"2017-12-04";"15:56:38"
"19";"15";"590";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:12:32"
"20";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Bioskop";"1";"0";"48";"2018-08-24";"02:14:30"
"21";"15";"580";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Provinsi Kepulauan Riau \(Kepri\)";"Indonesia";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:17:34"
"22";"15";"581";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"0";"48";"2018-08-24";"02:21:37"
"23";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Utara";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:22:40"
"24";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kalimantan Timur";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:23:06"
"25";"15";"583";"Tidak Ada";"Tidak Ada";"Tidak Ada";"DKI Jakarta";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:23:23"
"26";"15";"587";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Nusa Tenggara Timur";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:27:15"
"27";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"NTT";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:30:54"
"28";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Bali";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:31:17"
"29";"15";"588";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Aceh";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:31:30"
"30";"3";"92";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:40:44"
"31";"3";"93";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Atrium Mal Taman Anggrek";"1";"2";"48";"2018-08-24";"02:45:48"
"32";"3";"93";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Jakarta";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:46:12"
"33";"3";"94";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Indonesia";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:49:07"
"34";"3";"95";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:54:41"
"35";"3";"95";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:54:47"
"36";"3";"96";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:56:47"
"37";"3";"97";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:58:28"
"38";"23";"851";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"35";"2018-08-24";"20:37:58"
"39";"3";"98";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:46:08"
"40";"3";"98";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:46:15"
"41";"3";"99";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:48:39"
"42";"3";"100";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:52:47"
"43";"3";"100";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:52:56"
"44";"3";"101";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:54:27"
"45";"3";"102";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:56:28"
"46";"3";"103";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:59:12"
"47";"3";"104";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"21:02:50"
"48";"3";"105";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"22:13:34"
"49";"15";"590";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"22:54:20"
"50";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"bioskop";"1";"0";"32";"2018-08-24";"23:19:33"
"51";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"kolam umum";"1";"0";"32";"2018-08-24";"23:19:45"
"52";"15";"579";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:20:00"
"53";"3";"106";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"0";"48";"2018-08-24";"23:37:14"
"54";"3";"107";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Indonesia";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:38:23"
"55";"3";"107";"Tidak Ada";"Tidak Ada";"Jakarta";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:39:19"
"56";"3";"107";"Tidak Ada";"Tidak Ada";"Bogor";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:39:38"
"57";"15";"580";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Provinsi Kepulauan Riau";"Indonesia";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:39:48"
"58";"3";"107";"Tidak Ada";"Tidak Ada";"Bandung";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:40:08"
"59";"3";"107";"Tidak Ada";"Tidak Ada";"Banten";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:40:38"
"60";"3";"107";"Tidak Ada";"Tidak Ada";"Cilacap";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:40:55"
"61";"3";"107";"Tidak Ada";"Tidak Ada";"Yogyakarta";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:41:12"
"62";"3";"107";"Tidak Ada";"Tidak Ada";"Surabaya";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:41:28"
"63";"3";"107";"Tidak Ada";"Tidak Ada";"Malang";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:41:40"
"64";"3";"107";"Tidak Ada";"Tidak Ada";"Kudus";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:41:56"
"65";"15";"581";"Tidak Ada";"Tidak Ada";"Tidak Ada";"Kepri";"Tidak Ada";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:42:08"
"66";"3";"107";"Tidak Ada";"Tidak Ada";"Pati";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:42:11"
"67";"3";"107";"Tidak Ada";"Tidak Ada";"Banjarmasin";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:42:26"
"68";"3";"107";"Tidak Ada";"Tidak Ada";"Pekanbaru";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:42:42"
"69";"3";"107";"Tidak Ada";"Tidak Ada";"Makassar";"Tidak Ada";"Tidak Ada";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:42:54"
