"id_kuantitas";"id_berita";"id_kalimat";"kuantitas";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"579";"berbayar";"0";"4";"2017-12-01";"02:48:10"
"2";"3";"94";"12 kali";"1";"2";"2017-12-04";"15:36:09"
"3";"3";"95";"ketiga";"1";"2";"2017-12-04";"15:54:21"
"4";"3";"96";"Tidak Ada";"2";"2";"2017-12-04";"15:56:04"
"5";"3";"97";"Tidak Ada";"1";"2";"2017-12-04";"15:57:21"
"6";"15";"590";"Tidak Ada";"1";"48";"2018-08-24";"02:12:11"
"7";"15";"579";"Tidak Ada";"1";"48";"2018-08-24";"02:15:59"
"8";"15";"580";"Tidak Ada";"2";"48";"2018-08-24";"02:18:59"
"9";"15";"581";"Rerata";"2";"48";"2018-08-24";"02:19:17"
"10";"15";"583";"Tidak Ada";"2";"48";"2018-08-24";"02:25:26"
"11";"15";"587";"Tidak Ada";"2";"48";"2018-08-24";"02:30:07"
"12";"15";"588";"Tidak Ada";"1";"48";"2018-08-24";"02:33:24"
"13";"3";"92";"Tidak Ada";"1";"48";"2018-08-24";"02:41:13"
"14";"3";"93";"Tidak Ada";"1";"48";"2018-08-24";"02:41:36"
"15";"3";"94";"Tidak Ada";"2";"48";"2018-08-24";"02:52:28"
"16";"3";"95";"Tidak Ada";"2";"48";"2018-08-24";"02:54:15"
"17";"3";"96";"Tidak Ada";"2";"48";"2018-08-24";"02:57:12"
"18";"3";"97";"Tidak Ada";"2";"48";"2018-08-24";"02:59:39"
"19";"3";"98";"10";"2";"48";"2018-08-24";"03:01:24"
"20";"23";"851";"Tidak Ada";"2";"35";"2018-08-24";"20:38:17"
"21";"3";"99";"Tidak Ada";"2";"48";"2018-08-24";"20:48:31"
"22";"3";"100";"Tidak Ada";"2";"48";"2018-08-24";"20:53:27"
"23";"3";"101";"Tidak Ada";"2";"48";"2018-08-24";"20:54:11"
"24";"3";"102";"Tidak Ada";"2";"48";"2018-08-24";"20:56:58"
"25";"3";"103";"Tidak Ada";"2";"48";"2018-08-24";"20:59:44"
"26";"3";"104";"135";"2";"48";"2018-08-24";"21:00:55"
"27";"3";"104";"46";"2";"48";"2018-08-24";"21:01:21"
"28";"3";"104";"89";"2";"48";"2018-08-24";"21:01:39"
"29";"3";"105";"Tidak Ada";"2";"48";"2018-08-24";"22:11:12"
"30";"3";"106";"15";"2";"48";"2018-08-24";"22:29:40"
"31";"15";"590";"Tidak Ada";"2";"32";"2018-08-24";"22:53:56"
"32";"15";"579";"Tidak Ada";"2";"32";"2018-08-24";"23:38:00"
"33";"3";"107";"13";"2";"48";"2018-08-24";"23:38:03"
"34";"15";"580";"Tidak Ada";"2";"32";"2018-08-24";"23:40:44"
"35";"15";"581";"20.927";"2";"32";"2018-08-24";"23:43:36"
"36";"15";"583";"Tidak Ada";"2";"32";"2018-08-24";"23:43:52"
"37";"3";"108";"20";"2";"48";"2018-08-24";"23:44:38"
"38";"3";"108";"10";"2";"48";"2018-08-24";"23:44:48"
"39";"3";"109";"Tidak Ada";"2";"48";"2018-08-24";"23:48:56"
"40";"15";"587";"Tidak Ada";"2";"32";"2018-08-24";"23:50:14"
"41";"3";"110";"Tidak Ada";"2";"48";"2018-08-24";"23:51:21"
"42";"15";"588";"Tidak Ada";"2";"32";"2018-08-24";"23:53:03"
"43";"3";"111";"Tidak Ada";"2";"48";"2018-08-24";"23:54:01"
"44";"3";"92";"Tidak Ada";"2";"32";"2018-08-24";"23:58:19"
"45";"3";"112";"Tidak Ada";"2";"48";"2018-08-25";"00:05:36"
"46";"3";"113";"Tidak Ada";"2";"48";"2018-08-25";"00:07:52"
"47";"3";"114";"Tidak Ada";"2";"48";"2018-08-25";"00:10:22"
"48";"3";"115";"Tidak Ada";"2";"48";"2018-08-25";"00:11:23"
"49";"3";"116";"Tidak Ada";"2";"48";"2018-08-25";"00:13:20"
"50";"3";"117";"Tidak Ada";"2";"48";"2018-08-25";"00:15:53"
"51";"3";"118";"Tidak Ada";"2";"48";"2018-08-25";"00:17:05"
"52";"109";"4445";"Tidak Ada";"2";"31";"2018-08-25";"13:25:21"
"53";"109";"4446";"Tidak Ada";"2";"31";"2018-08-25";"13:37:06"
"54";"109";"4447";"Tidak Ada";"2";"31";"2018-08-25";"13:51:58"
"55";"21";"777";"Tidak Ada";"1";"31";"2018-08-25";"14:32:16"
"56";"21";"778";"Tidak Ada";"1";"31";"2018-08-25";"14:34:16"
"57";"21";"779";"Tidak Ada";"1";"31";"2018-08-25";"14:35:39"
"58";"21";"780";"14";"1";"31";"2018-08-25";"14:36:10"
"59";"21";"781";"Tidak Ada";"1";"31";"2018-08-25";"14:42:45"
"60";"21";"782";"Tidak Ada";"1";"31";"2018-08-25";"14:44:45"
"61";"21";"783";"dua";"2";"31";"2018-08-25";"14:46:14"
"62";"21";"784";"sekitar setengah orang";"1";"31";"2018-08-25";"14:48:45"
"63";"21";"784";"Tidak Ada";"1";"31";"2018-08-25";"14:48:54"
"64";"21";"785";"80";"1";"31";"2018-08-25";"14:50:10"
"65";"21";"786";"Tidak Ada";"1";"31";"2018-08-25";"14:52:02"
"66";"21";"787";"Tidak Ada";"1";"31";"2018-08-25";"14:52:49"
"67";"21";"788";"Tidak Ada";"1";"31";"2018-08-25";"14:53:51"
"68";"21";"789";"Tidak Ada";"1";"31";"2018-08-25";"14:58:14"
"69";"21";"790";"Tidak Ada";"1";"31";"2018-08-25";"14:59:20"
"70";"21";"791";"1980";"1";"31";"2018-08-25";"15:00:02"
"71";"21";"792";"Tidak Ada";"1";"31";"2018-08-25";"15:01:30"
