"id_money";"id_berita";"id_kalimat";"money";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"1";"2";"2017-11-17";"16:48:02"
"2";"15";"579";"Tidak Ada";"1";"2";"2017-11-17";"16:59:02"
"3";"15";"580";"Tidak Ada";"1";"2";"2017-11-17";"17:03:15"
"4";"15";"581";"Rp20.927";"1";"2";"2017-11-17";"17:04:29"
"5";"15";"583";"Rp17.218";"1";"2";"2017-11-17";"17:05:55"
"6";"15";"583";"Rp15.650";"1";"2";"2017-11-17";"17:06:05"
"7";"15";"583";"Rp15.311";"1";"2";"2017-11-17";"17:06:17"
"8";"15";"587";"Rp353";"1";"2";"2017-11-17";"17:10:31"
"9";"15";"588";"Rp627";"1";"2";"2017-11-17";"17:13:03"
"10";"15";"588";"Rp1.249";"1";"2";"2017-11-17";"17:13:14"
"11";"15";"590";"murah,";"0";"4";"2017-11-18";"13:06:17"
"12";"3";"92";"Tidak Ada";"1";"2";"2017-11-23";"14:11:10"
"13";"3";"93";"Tidak Ada";"1";"2";"2017-11-28";"12:59:04"
"14";"3";"94";"Tidak Ada";"1";"2";"2017-11-28";"15:40:02"
"15";"15";"579";"Tidak Ada";"1";"4";"2017-12-01";"02:52:14"
"16";"3";"95";"Tidak Ada";"1";"2";"2017-12-04";"15:52:45"
"17";"3";"96";"Tidak Ada";"1";"2";"2017-12-04";"15:55:53"
"18";"3";"97";"Tidak Ada";"1";"2";"2017-12-04";"15:56:54"
"19";"15";"590";"Tidak Ada";"1";"48";"2018-08-24";"02:12:21"
"20";"15";"579";"Tidak Ada";"1";"48";"2018-08-24";"02:15:52"
"21";"15";"580";"Tidak Ada";"1";"48";"2018-08-24";"02:18:11"
"22";"15";"581";"Rp20\.927";"1";"48";"2018-08-24";"02:20:14"
"23";"15";"583";"Rp17\.218";"1";"48";"2018-08-24";"02:23:40"
"24";"15";"583";"Rp15\.650";"1";"48";"2018-08-24";"02:23:52"
"25";"15";"583";"Rp15\.311";"1";"48";"2018-08-24";"02:24:05"
"26";"15";"587";"Rp353";"1";"48";"2018-08-24";"02:27:28"
"27";"15";"588";"Rp627";"1";"48";"2018-08-24";"02:31:47"
"28";"15";"588";"Rp1\.249";"1";"48";"2018-08-24";"02:32:04"
"29";"3";"92";"Tidak Ada";"1";"48";"2018-08-24";"02:41:00"
"30";"3";"93";"Tidak Ada";"1";"48";"2018-08-24";"02:47:11"
"31";"3";"94";"Tidak Ada";"1";"48";"2018-08-24";"02:51:46"
"32";"3";"95";"Tidak Ada";"1";"48";"2018-08-24";"02:54:25"
"33";"3";"96";"Tidak Ada";"1";"48";"2018-08-24";"02:57:02"
"34";"3";"97";"Tidak Ada";"1";"48";"2018-08-24";"02:59:12"
"35";"23";"851";"Tidak Ada";"1";"35";"2018-08-24";"20:38:05"
"36";"3";"98";"Tidak Ada";"1";"48";"2018-08-24";"20:45:45"
"37";"3";"99";"Tidak Ada";"1";"48";"2018-08-24";"20:48:23"
"38";"3";"100";"Tidak Ada";"1";"48";"2018-08-24";"20:53:14"
"39";"3";"101";"Tidak Ada";"2";"48";"2018-08-24";"20:54:18"
"40";"3";"102";"Tidak Ada";"1";"48";"2018-08-24";"20:56:45"
"41";"3";"103";"Tidak Ada";"1";"48";"2018-08-24";"20:59:33"
"42";"3";"104";"Tidak Ada";"1";"48";"2018-08-24";"21:03:10"
"43";"3";"105";"Tidak Ada";"1";"48";"2018-08-24";"22:11:43"
"44";"15";"590";"Tidak Ada";"1";"32";"2018-08-24";"22:54:01"
"45";"3";"106";"Tidak Ada";"1";"48";"2018-08-24";"23:37:32"
"46";"15";"579";"Tidak Ada";"1";"32";"2018-08-24";"23:37:48"
"47";"15";"580";"Tidak Ada";"1";"32";"2018-08-24";"23:40:32"
"48";"15";"581";"Rp20\.927";"1";"32";"2018-08-24";"23:43:10"
"49";"3";"107";"Tidak Ada";"1";"48";"2018-08-24";"23:43:58"
"50";"3";"108";"Tidak Ada";"1";"48";"2018-08-24";"23:46:37"
"51";"15";"583";"Rp17\.218";"1";"32";"2018-08-24";"23:46:43"
"52";"15";"583";"Rp15\.650";"1";"32";"2018-08-24";"23:46:54"
"53";"15";"583";"Rp15\.311";"1";"32";"2018-08-24";"23:47:03"
"54";"3";"109";"Rp50 juta";"1";"48";"2018-08-24";"23:47:23"
"55";"15";"587";"Rp353";"1";"32";"2018-08-24";"23:49:54"
"56";"3";"110";"Tidak Ada";"1";"48";"2018-08-24";"23:51:14"
"57";"15";"588";"Rp627";"1";"32";"2018-08-24";"23:52:44"
"58";"15";"588";"Rp1\.249";"1";"32";"2018-08-24";"23:52:51"
"59";"15";"588";"Tidak Ada";"0";"32";"2018-08-24";"23:52:55"
"60";"3";"111";"Tidak Ada";"1";"48";"2018-08-24";"23:53:45"
"61";"3";"92";"Tidak Ada";"1";"32";"2018-08-24";"23:58:03"
"62";"3";"112";"Tidak Ada";"1";"48";"2018-08-25";"00:05:27"
"63";"3";"113";"Tidak Ada";"1";"48";"2018-08-25";"00:07:40"
"64";"3";"114";"Tidak Ada";"1";"48";"2018-08-25";"00:10:12"
"65";"3";"115";"Tidak Ada";"2";"48";"2018-08-25";"00:11:09"
"66";"3";"116";"Tidak Ada";"1";"48";"2018-08-25";"00:13:05"
"67";"3";"117";"Tidak Ada";"1";"48";"2018-08-25";"00:15:42"
"68";"3";"118";"Tidak Ada";"1";"48";"2018-08-25";"00:16:58"
"69";"109";"4445";"Tidak Ada";"1";"31";"2018-08-25";"13:24:35"
"70";"109";"4446";"Tidak Ada";"1";"31";"2018-08-25";"13:36:53"
"71";"109";"4447";"Tidak Ada";"1";"31";"2018-08-25";"13:51:40"
"72";"21";"777";"Tidak Ada";"1";"31";"2018-08-25";"14:32:26"
"73";"21";"778";"Tidak Ada";"1";"31";"2018-08-25";"14:34:26"
"74";"21";"779";"Tidak Ada";"1";"31";"2018-08-25";"14:35:47"
"75";"21";"780";"Tidak Ada";"1";"31";"2018-08-25";"14:37:37"
"76";"21";"781";"Tidak Ada";"1";"31";"2018-08-25";"14:42:50"
"77";"21";"782";"Tidak Ada";"1";"31";"2018-08-25";"14:44:53"
"78";"21";"783";"Tidak Ada";"1";"31";"2018-08-25";"14:46:59"
"79";"21";"784";"Tidak Ada";"1";"31";"2018-08-25";"14:48:30"
"80";"21";"785";"Tidak Ada";"1";"31";"2018-08-25";"14:50:47"
"81";"21";"786";"Tidak Ada";"1";"31";"2018-08-25";"14:51:53"
"82";"21";"787";"Tidak Ada";"1";"31";"2018-08-25";"14:52:42"
"83";"21";"788";"Tidak Ada";"1";"31";"2018-08-25";"14:53:39"
"84";"21";"789";"Tidak Ada";"1";"31";"2018-08-25";"14:58:07"
"85";"21";"790";"Tidak Ada";"1";"31";"2018-08-25";"14:59:12"
"86";"21";"791";"Tidak Ada";"1";"31";"2018-08-25";"15:00:40"
