"id_orang";"id_berita";"id_kalimat";"nama_orang";"jabatan";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:49:13"
"2";"15";"579";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:58:36"
"3";"15";"580";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:59:15"
"4";"15";"581";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:03:31"
"5";"15";"583";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:04:55"
"6";"15";"587";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:09:57"
"7";"15";"588";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:11:56"
"8";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"4";"2017-11-18";"14:00:39"
"9";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"4";"2017-11-18";"14:01:10"
"10";"3";"92";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-23";"14:10:04"
"11";"3";"93";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-27";"14:04:42"
"12";"3";"94";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-11-28";"15:38:08"
"13";"15";"579";"Tidak Ada";"Tidak Ada";"1";"1";"4";"2017-12-01";"02:52:41"
"14";"3";"95";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:51:03"
"15";"3";"96";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:55:09"
"16";"3";"97";"Tidak Ada";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:56:28"
"17";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:11:02"
"18";"15";"579";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:15:33"
"19";"15";"580";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:17:18"
"20";"15";"581";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:21:24"
"21";"15";"583";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:24:44"
"22";"15";"587";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:29:30"
"23";"15";"588";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:32:34"
"24";"3";"92";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:40:28"
"25";"3";"93";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:45:17"
"26";"3";"94";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:51:29"
"27";"3";"95";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:53:59"
"28";"3";"96";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:56:40"
"29";"3";"97";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:57:58"
"30";"3";"97";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:58:12"
"31";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"53";"2018-08-24";"17:12:55"
"32";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"53";"2018-08-24";"17:13:03"
"33";"15";"590";"Tidak Ada";"Tidak Ada";"1";"1";"53";"2018-08-24";"17:14:14"
"34";"23";"851";"Marc Marquez";"Atlet";"1";"1";"35";"2018-08-24";"19:33:17"
"35";"3";"98";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:45:30"
"36";"3";"99";"Tidak Ada";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:48:55"
"37";"3";"100";"Jonfis Fandy";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:49:57"
