"id_organisasi";"id_berita";"id_kalimat";"nama_organisasi";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:49:07"
"2";"15";"579";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:58:42"
"3";"15";"580";"Provinsi Kepulauan Riau";"1";"2";"2";"2017-11-17";"17:02:51"
"4";"15";"581";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:03:43"
"5";"15";"583";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:04:58"
"6";"15";"587";"Badan Pusat Statistik";"1";"1";"2";"2017-11-17";"17:09:44"
"7";"15";"588";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:12:02"
"8";"15";"590";"Twitter";"1";"2";"4";"2017-11-18";"13:05:31"
"9";"3";"92";"Tidak Ada";"1";"1";"2";"2017-11-23";"14:10:13"
"10";"3";"93";"Tidak Ada";"1";"1";"2";"2017-11-27";"14:04:50"
"11";"3";"94";"Tidak Ada";"1";"1";"2";"2017-11-28";"15:38:18"
"12";"15";"579";"Tidak Ada";"1";"1";"4";"2017-12-01";"02:52:38"
"13";"3";"95";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:51:20"
"14";"3";"96";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:55:21"
"15";"3";"97";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:56:33"
"16";"30";"1362";"Tidak Ada";"1";"2";"35";"2018-08-22";"19:00:45"
"17";"15";"590";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:11:22"
"18";"15";"579";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:12:39"
"19";"15";"580";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:17:22"
"20";"15";"581";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:21:30"
"21";"15";"583";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:24:48"
"22";"15";"587";"Sosial Ekonomi Nasional (Susenas)";"1";"2";"48";"2018-08-24";"02:26:16"
"23";"15";"587";"Badan Pusat Statistik";"1";"1";"48";"2018-08-24";"02:26:35"
"24";"15";"588";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:32:37"
"25";"3";"92";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:40:30"
"26";"3";"93";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:47:00"
"27";"3";"94";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:51:32"
"28";"3";"95";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:54:51"
"29";"3";"96";"Honda Prospek Motor (HPM)";"1";"2";"48";"2018-08-24";"02:56:12"
"30";"3";"97";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:58:22"
"31";"15";"590";"Tidak Ada";"1";"2";"53";"2018-08-24";"17:14:17"
"32";"23";"851";"Repsol Honda";"1";"1";"35";"2018-08-24";"19:37:06"
"33";"23";"851";"Repsol Honda";"1";"2";"35";"2018-08-24";"19:52:02"
"34";"3";"98";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:45:34"
"35";"3";"99";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:48:51"
"36";"3";"100";"HPM";"1";"2";"48";"2018-08-24";"20:52:08"
"37";"3";"101";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:54:30"
"38";"3";"102";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:56:22"
"39";"3";"103";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:59:07"
"40";"3";"104";"Tidak Ada";"1";"1";"48";"2018-08-24";"21:02:44"
"41";"3";"105";"Tidak Ada";"1";"1";"48";"2018-08-24";"22:13:17"
"42";"15";"590";"Tidak Ada";"1";"1";"32";"2018-08-24";"22:54:25"
"43";"15";"579";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:18:51"
"44";"3";"106";"BRIONESIA \(Brio Indonesia\)";"1";"1";"48";"2018-08-24";"23:30:19"
"45";"3";"106";"HDI \(HR-V Devotee Indonesia\)";"1";"1";"48";"2018-08-24";"23:32:27"
"46";"3";"106";"HDI \(HR-V Devotee Indonesia\)";"1";"1";"48";"2018-08-24";"23:35:07"
"47";"3";"106";"INVERNITY \(Indonesia BRaVer Community\)";"1";"1";"48";"2018-08-24";"23:35:25"
"48";"3";"106";"Mobility \(Mobilio Indonesia Community\)";"1";"1";"48";"2018-08-24";"23:35:50"
"49";"15";"580";"Tidak Ada";"1";"2";"32";"2018-08-24";"23:40:55"
"50";"15";"581";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:41:56"
"51";"3";"107";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:43:34"
"52";"15";"583";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:45:04"
"53";"3";"108";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:46:11"
"54";"3";"109";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:48:26"
"55";"15";"587";"Sosial Ekonomi Nasional (Susenas)";"1";"2";"32";"2018-08-24";"23:48:29"
"56";"15";"587";"Badan Pusat Statistik";"1";"1";"32";"2018-08-24";"23:48:48"
"57";"15";"587";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:48:54"
"58";"3";"110";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:50:43"
"59";"15";"588";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:51:48"
"60";"3";"111";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:53:35"
"61";"3";"92";"Honda Jazz Brio Tuning";"1";"2";"32";"2018-08-24";"23:55:17"
"62";"3";"112";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:05:04"
"63";"3";"113";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:07:09"
"64";"3";"114";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:09:52"
"65";"3";"115";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:10:39"
"66";"3";"116";"Autos\.id";"1";"2";"48";"2018-08-25";"00:11:50"
"67";"3";"117";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:15:15"
"68";"3";"118";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:16:39"
"69";"109";"4445";"Tolerance Film Festival";"1";"2";"31";"2018-08-25";"13:23:53"
"70";"109";"4445";"Tolerance Film Festival";"1";"2";"31";"2018-08-25";"13:23:59"
"71";"109";"4446";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:35:33"
"72";"109";"4447";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:51:08"
"73";"21";"777";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:30:53"
"74";"21";"778";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:33:38"
"75";"21";"779";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:35:11"
"76";"21";"780";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:37:11"
"77";"21";"781";"Casey House";"1";"1";"31";"2018-08-25";"14:41:41"
"78";"21";"782";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:44:36"
"79";"22";"842";"Tidak Ada";"1";"1";"37";"2018-08-25";"14:45:53"
"80";"21";"783";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:46:30"
