"id_perusahaan";"id_berita";"id_kalimat";"nama_perusahaan";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Twitter";"1";"1";"2";"2017-11-17";"16:47:31"
"2";"15";"579";"Tidak Ada";"1";"1";"2";"2017-11-17";"16:58:51"
"3";"15";"580";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:03:02"
"4";"15";"581";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:04:06"
"5";"15";"583";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:05:34"
"6";"15";"587";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:10:13"
"7";"15";"588";"Tidak Ada";"1";"1";"2";"2017-11-17";"17:12:42"
"8";"15";"590";"Tidak Ada";"1";"2";"4";"2017-11-18";"11:33:35"
"9";"15";"590";"Tidak Ada";"1";"2";"4";"2017-11-18";"11:33:43"
"10";"3";"92";"Tidak Ada";"1";"1";"2";"2017-11-27";"14:03:34"
"11";"3";"93";"Tidak Ada";"1";"1";"2";"2017-11-28";"12:58:59"
"12";"3";"94";"Tidak Ada";"1";"1";"2";"2017-11-28";"15:39:06"
"13";"15";"579";"Tidak Ada";"1";"1";"4";"2017-12-01";"02:52:35"
"14";"3";"95";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:52:12"
"15";"3";"96";"Honda Prospek Motor \(HPM\)";"1";"1";"2";"2017-12-04";"15:55:32"
"16";"3";"97";"Tidak Ada";"1";"1";"2";"2017-12-04";"15:56:43"
"17";"30";"1362";"Huawei";"1";"1";"35";"2018-08-22";"19:01:22"
"18";"15";"590";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:12:29"
"19";"15";"579";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:15:38"
"20";"15";"580";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:17:41"
"21";"15";"581";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:21:42"
"22";"15";"583";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:24:58"
"23";"15";"587";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:29:42"
"24";"15";"588";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:32:42"
"25";"3";"92";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:40:50"
"26";"3";"93";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:47:03"
"27";"3";"94";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:51:36"
"28";"3";"95";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:54:34"
"29";"3";"96";"Tidak Ada";"1";"2";"48";"2018-08-24";"02:56:53"
"30";"3";"97";"Tidak Ada";"1";"1";"48";"2018-08-24";"02:58:37"
"31";"15";"590";"Twitter";"1";"1";"53";"2018-08-24";"17:14:21"
"32";"23";"851";"Honda";"1";"2";"35";"2018-08-24";"19:36:29"
"33";"3";"98";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:46:19"
"34";"3";"99";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:48:45"
"35";"3";"100";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:53:40"
"36";"3";"101";"Tidak Ada";"1";"2";"48";"2018-08-24";"20:54:25"
"37";"3";"102";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:56:32"
"38";"3";"103";"Tidak Ada";"1";"1";"48";"2018-08-24";"20:59:22"
"39";"3";"104";"Tidak Ada";"1";"1";"48";"2018-08-24";"21:02:57"
"40";"3";"105";"Tidak Ada";"1";"1";"48";"2018-08-24";"22:14:25"
"41";"15";"590";"Twitter";"1";"1";"32";"2018-08-24";"22:53:44"
"42";"15";"579";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:20:09"
"43";"3";"106";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:37:21"
"44";"15";"580";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:39:58"
"45";"15";"581";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:42:16"
"46";"3";"107";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:43:39"
"47";"3";"108";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:46:28"
"48";"15";"583";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:47:20"
"49";"3";"109";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:48:35"
"50";"15";"587";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:49:25"
"51";"3";"110";"Tidak Ada";"1";"1";"48";"2018-08-24";"23:51:00"
"52";"15";"588";"Tidak Ada";"1";"1";"32";"2018-08-24";"23:52:16"
"53";"3";"111";"Tidak Ada";"1";"2";"48";"2018-08-24";"23:53:21"
"54";"3";"92";"Honda";"1";"2";"32";"2018-08-24";"23:55:39"
"55";"3";"112";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:05:12"
"56";"3";"113";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:07:31"
"57";"3";"114";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:10:02"
"58";"3";"115";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:10:54"
"59";"3";"116";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:12:59"
"60";"3";"117";"Tidak Ada";"1";"2";"48";"2018-08-25";"00:15:31"
"61";"3";"118";"Tidak Ada";"1";"1";"48";"2018-08-25";"00:16:48"
"62";"109";"4445";"Tidak Ada";"1";"2";"31";"2018-08-25";"13:27:31"
"63";"109";"4445";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:28:39"
"64";"109";"4446";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:36:03"
"65";"109";"4447";"Tidak Ada";"1";"1";"31";"2018-08-25";"13:51:27"
"66";"21";"777";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:31:06"
"67";"21";"778";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:33:26"
"68";"21";"779";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:35:27"
"69";"21";"780";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:37:18"
"70";"21";"781";"The Guardian";"1";"2";"31";"2018-08-25";"14:41:58"
"71";"21";"781";"Casey House";"1";"2";"31";"2018-08-25";"14:42:14"
"72";"21";"782";"Casey House";"1";"2";"31";"2018-08-25";"14:43:08"
"73";"21";"783";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:46:35"
"74";"21";"784";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:48:21"
"75";"21";"785";"Tidak Ada";"1";"2";"31";"2018-08-25";"14:50:38"
"76";"21";"786";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:51:44"
"77";"21";"787";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:52:35"
"78";"21";"788";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:53:27"
"79";"21";"789";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:58:00"
"80";"21";"790";"Tidak Ada";"1";"1";"31";"2018-08-25";"14:59:04"
"81";"21";"791";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:00:33"
"82";"21";"792";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:01:12"
"83";"21";"793";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:02:43"
"84";"21";"794";"Toronto Star";"1";"2";"31";"2018-08-25";"15:03:57"
"85";"21";"795";"Center for Disease Control and Prevention";"1";"2";"31";"2018-08-25";"15:04:29"
"86";"21";"796";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:06:08"
"87";"21";"797";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:07:10"
"88";"21";"798";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:08:13"
"89";"21";"799";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:14:00"
"90";"21";"800";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:14:45"
"91";"21";"801";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:16:34"
"92";"21";"802";"Tidak Ada";"1";"2";"31";"2018-08-25";"15:17:30"
"93";"22";"842";"Tidak Ada";"1";"2";"37";"2018-08-25";"15:21:38"
"94";"23";"852";"Honda";"1";"2";"35";"2018-08-25";"15:55:28"
"95";"23";"853";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:01:12"
"96";"23";"854";"Tidak Ada";"1";"2";"35";"2018-08-25";"16:05:29"
