"id_produk";"id_berita";"id_kalimat";"nama_produk";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"579";"berlangganan";"0";"4";"2017-12-01";"02:48:38"
"2";"15";"580";"pengeluaran";"0";"4";"2017-12-01";"02:53:12"
"3";"3";"94";"Tidak Ada";"2";"2";"2017-12-04";"15:36:14"
"4";"3";"95";"Tidak Ada";"2";"2";"2017-12-04";"15:53:48"
"5";"3";"96";"Tidak Ada";"2";"2";"2017-12-04";"15:56:01"
"6";"3";"97";"Honda Jazz";"1";"2";"2017-12-04";"15:57:11"
"7";"3";"97";"Brio";"1";"2";"2017-12-04";"15:57:17"
"8";"30";"1362";"Huawei Nova 2i";"1";"35";"2018-08-22";"18:59:14"
"9";"15";"590";"Tidak Ada";"2";"48";"2018-08-24";"02:12:16"
"10";"15";"579";"Tidak Ada";"1";"48";"2018-08-24";"02:15:57"
"11";"15";"580";"Tidak Ada";"1";"48";"2018-08-24";"02:18:37"
"12";"15";"581";"Tidak Ada";"1";"48";"2018-08-24";"02:22:05"
"13";"15";"583";"Tidak Ada";"1";"48";"2018-08-24";"02:25:22"
"14";"15";"587";"Tidak Ada";"1";"48";"2018-08-24";"02:30:02"
"15";"15";"588";"Tidak Ada";"1";"48";"2018-08-24";"02:33:19"
"16";"3";"92";"Tidak Ada";"2";"48";"2018-08-24";"02:41:09"
"17";"3";"93";"Tidak Ada";"2";"48";"2018-08-24";"02:47:17"
"18";"3";"94";"Tidak Ada";"2";"48";"2018-08-24";"02:51:50"
"19";"3";"95";"Tidak Ada";"2";"48";"2018-08-24";"02:55:00"
"20";"3";"96";"Tidak Ada";"2";"48";"2018-08-24";"02:57:08"
"21";"3";"97";"Tidak Ada";"0";"48";"2018-08-24";"02:59:45"
"22";"23";"851";"Tidak Ada";"2";"35";"2018-08-24";"20:38:14"
"23";"3";"98";"Tidak Ada";"2";"48";"2018-08-24";"20:45:50"
"24";"3";"99";"Tidak Ada";"2";"48";"2018-08-24";"20:48:27"
"25";"3";"100";"Honda Jazz";"2";"48";"2018-08-24";"20:50:29"
"26";"3";"100";"Honda Brio";"2";"48";"2018-08-24";"20:50:49"
"27";"3";"100";"Hatchback";"2";"48";"2018-08-24";"20:51:11"
"28";"3";"101";"Tidak Ada";"2";"48";"2018-08-24";"20:54:14"
"29";"3";"102";"Tidak Ada";"2";"48";"2018-08-24";"20:56:52"
"30";"3";"103";"Tidak Ada";"2";"48";"2018-08-24";"20:59:40"
"31";"3";"104";"Honda Jazz";"2";"48";"2018-08-24";"21:02:01"
"32";"3";"104";"Honda Brio";"2";"48";"2018-08-24";"21:02:17"
"33";"3";"105";"Honda";"2";"48";"2018-08-24";"22:10:08"
"34";"15";"590";"Tidak Ada";"2";"32";"2018-08-24";"22:54:06"
"35";"3";"106";"Tidak Ada";"2";"48";"2018-08-24";"23:37:39"
"36";"15";"579";"Tidak Ada";"2";"32";"2018-08-24";"23:37:56"
"37";"15";"580";"Tidak Ada";"2";"32";"2018-08-24";"23:40:40"
"38";"15";"581";"Tidak Ada";"2";"32";"2018-08-24";"23:43:25"
"39";"3";"107";"Tidak Ada";"2";"48";"2018-08-24";"23:44:06"
"40";"3";"108";"Honda Jazz";"2";"48";"2018-08-24";"23:45:04"
"41";"3";"108";"Brio";"2";"48";"2018-08-24";"23:45:18"
