"id_waktu";"id_berita";"id_kalimat";"waktu";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"1";"4";"2017-11-18";"10:41:17"
"2";"3";"92";"2017";"1";"2";"2017-11-23";"14:11:24"
"3";"3";"93";"Kamis (9/11)";"1";"2";"2017-11-27";"14:08:32"
"4";"3";"93";"Minggu (12/11/2017)";"1";"2";"2017-11-27";"14:08:48"
"5";"3";"94";"2005";"1";"2";"2017-11-28";"15:40:18"
"6";"15";"579";"Tidak Ada";"1";"4";"2017-12-01";"02:48:28"
"7";"3";"95";"2015";"1";"2";"2017-12-04";"15:52:54"
"8";"3";"96";"Tidak Ada";"1";"2";"2017-12-04";"15:55:57"
"9";"3";"97";"Tidak Ada";"1";"2";"2017-12-04";"15:56:57"
"10";"15";"590";"Tidak Ada";"1";"48";"2018-08-24";"02:12:19"
"11";"15";"579";"Tidak Ada";"1";"48";"2018-08-24";"02:15:54"
"12";"15";"580";"Tidak Ada";"1";"48";"2018-08-24";"02:18:28"
"13";"15";"581";"Tidak Ada";"1";"48";"2018-08-24";"02:22:01"
"14";"15";"583";"Tidak Ada";"1";"48";"2018-08-24";"02:25:15"
"15";"15";"587";"Maret 2016";"1";"48";"2018-08-24";"02:27:49"
"16";"15";"588";"Tidak Ada";"1";"48";"2018-08-24";"02:33:08"
"17";"3";"92";"Tidak Ada";"2";"48";"2018-08-24";"02:41:04"
"18";"3";"93";"Kamis (9/11)";"1";"48";"2018-08-24";"02:43:40"
"19";"3";"93";"Minggu (12/11/2017)";"1";"48";"2018-08-24";"02:43:55"
"20";"3";"94";"2005";"1";"48";"2018-08-24";"02:49:49"
"21";"3";"94";"kali pertama";"2";"48";"2018-08-24";"02:50:35"
"22";"3";"95";"tahun yang ketiga";"2";"48";"2018-08-24";"02:53:02"
"23";"3";"95";"pertama kali";"2";"48";"2018-08-24";"02:53:28"
"24";"3";"96";"tiga tahun terakhir";"2";"48";"2018-08-24";"02:55:35"
"25";"3";"97";"Tidak Ada";"2";"48";"2018-08-24";"02:59:15"
"26";"3";"98";"tahun-tahun sebelumnya";"2";"48";"2018-08-24";"03:00:57"
"27";"23";"851";"Minggu (12/11/2017)";"1";"35";"2018-08-24";"19:35:19"
"28";"3";"99";"tahun ini";"2";"48";"2018-08-24";"20:48:13"
"29";"3";"100";"Kamis (9/11)";"1";"48";"2018-08-24";"20:52:23"
"30";"3";"101";"Tidak Ada";"2";"48";"2018-08-24";"20:54:16"
"31";"3";"102";"Tidak Ada";"2";"48";"2018-08-24";"20:56:49"
"32";"3";"103";"Tidak Ada";"2";"48";"2018-08-24";"20:59:36"
"33";"3";"104";"Tidak Ada";"2";"48";"2018-08-24";"21:03:13"
"34";"3";"105";"Tidak Ada";"2";"48";"2018-08-24";"22:11:19"
"35";"15";"590";"Tidak Ada";"2";"32";"2018-08-24";"22:54:04"
"36";"3";"106";"Tidak Ada";"2";"48";"2018-08-24";"23:37:36"
"37";"15";"579";"Tidak Ada";"2";"32";"2018-08-24";"23:37:54"
