id_berita;id_kalimat;nama_organisasi;isCorrect;isValid
15;590;Tidak Ada;1;1
15;579;Tidak Ada;1;1
15;580;Provinsi Kepulauan Riau;1;2
15;581;Tidak Ada;1;1
15;583;Tidak Ada;1;1
15;587;Badan Pusat Statistik;1;1
15;588;Tidak Ada;1;1
15;590;Twitter;1;2
3;92;Tidak Ada;1;1
3;93;Tidak Ada;1;1
3;94;Tidak Ada;1;1
15;579;Tidak Ada;1;1
3;95;Tidak Ada;1;1
3;96;Tidak Ada;1;1
3;97;Tidak Ada;1;1
30;1362;Tidak Ada;1;2
15;590;Tidak Ada;1;2
15;579;Tidak Ada;1;1
15;580;Tidak Ada;1;2
15;581;Tidak Ada;1;1
15;583;Tidak Ada;1;1
15;587;Sosial Ekonomi Nasional (Susenas);1;2
15;587;Badan Pusat Statistik;1;1
15;588;Tidak Ada;1;1
3;92;Tidak Ada;1;1
3;93;Tidak Ada;1;1
3;94;Tidak Ada;1;1
3;95;Tidak Ada;1;1
3;96;Honda Prospek Motor (HPM);1;2
3;97;Tidak Ada;1;1
15;590;Tidak Ada;1;2
23;851;Repsol Honda;1;1
23;851;Repsol Honda;1;2
3;98;Tidak Ada;1;1
3;99;Tidak Ada;1;1
3;100;HPM;1;2
3;101;Tidak Ada;1;2
3;102;Tidak Ada;1;1
3;103;Tidak Ada;1;1
3;104;Tidak Ada;1;1
3;105;Tidak Ada;1;1
15;590;Tidak Ada;1;1
15;579;Tidak Ada;1;1
3;106;BRIONESIA \(Brio Indonesia\);1;1
3;106;HDI \(HR-V Devotee Indonesia\);1;1
3;106;HDI \(HR-V Devotee Indonesia\);1;1
3;106;INVERNITY \(Indonesia BRaVer Community\);1;1
3;106;Mobility \(Mobilio Indonesia Community\);1;1
15;580;Tidak Ada;1;2
15;581;Tidak Ada;1;1
3;107;Tidak Ada;1;1
15;583;Tidak Ada;1;1
3;108;Tidak Ada;1;1
3;109;Tidak Ada;1;1
15;587;Sosial Ekonomi Nasional (Susenas);1;2
15;587;Badan Pusat Statistik;1;1
15;587;Tidak Ada;1;1
3;110;Tidak Ada;1;1
15;588;Tidak Ada;1;1
3;111;Tidak Ada;1;2
3;92;Honda Jazz Brio Tuning;1;2
3;112;Tidak Ada;1;2
3;113;Tidak Ada;1;2
3;114;Tidak Ada;1;1
3;115;Tidak Ada;1;2
3;116;Autos\.id;1;2
3;117;Tidak Ada;1;2
3;118;Tidak Ada;1;1
109;4445;Tolerance Film Festival;1;2
109;4445;Tolerance Film Festival;1;2
109;4446;Tidak Ada;1;1
109;4447;Tidak Ada;1;1
21;777;Tidak Ada;1;2
21;778;Tidak Ada;1;2
21;779;Tidak Ada;1;2
21;780;Tidak Ada;1;2
21;781;Casey House;1;1
21;782;Tidak Ada;1;2
22;842;Tidak Ada;1;1
21;783;Tidak Ada;1;1
21;784;Tidak Ada;1;1
21;785;Avert\.org;1;2
21;786;Tidak Ada;1;1
21;787;Tidak Ada;1;1
21;788;Tidak Ada;1;1
21;789;Tidak Ada;1;1
21;790;Tidak Ada;1;1
21;791;Tidak Ada;1;1
21;792;Tidak Ada;1;2
21;793;Tidak Ada;1;2
21;793;Tidak Ada;1;2
21;794;Toronto Star;1;2
21;795;Center for Disease Control and Prevention;1;1
21;796;Tidak Ada;1;1
21;797;Tidak Ada;1;1
21;798;Tidak Ada;1;1
21;799;Tidak Ada;1;1
21;800;Tidak Ada;1;1
21;801;Tidak Ada;1;1
21;802;Tidak Ada;1;1
23;852;Repsol Honda;1;1
23;853;Tidak Ada;1;1
23;854;Tidak Ada;1;1
23;855;Tidak Ada;1;1
23;856;Tidak Ada;1;1
23;857;Tidak Ada;1;1
23;858;Tidak Ada;1;1
23;859;Tidak Ada;1;2
23;860;Tidak Ada;1;1
109;4445;Tidak Ada;1;2
109;4446;Tidak Ada;1;1
109;4447;Tidak Ada;1;1
109;4448;Tidak Ada;1;2
109;4449;Nazi;1;1
109;4449;Tidak Ada;1;2
23;861;Tidak Ada;1;1
109;4450;Tidak Ada;1;1
109;4451;Tidak Ada;1;2
109;4452;Tidak Ada;1;1
23;862;Tidak Ada;1;1
109;4453;Tidak Ada;1;2
23;863;Tidak Ada;1;1
23;864;Tidak Ada;1;1
23;865;Tidak Ada;1;1
23;866;Tidak Ada;1;1
23;867;Tidak Ada;1;1
23;868;Tidak Ada;1;2
23;869;Tidak Ada;1;1
35;1566;NASA;1;1
35;1567;Tidak Ada;1;1
35;1568;Tidak Ada;1;1
35;1569;Badan Aeronautika dan Antariksa Amerika Serikat;1;2
35;1569;NASA;1;1
35;1570;NASA;1;1
197;8572;Tidak Ada;1;1
22;843;Tidak Ada;1;1
22;844;Science Direct;1;2
22;844;Tidak Ada;1;2
22;845;Tidak Ada;1;1
22;846;Tidak Ada;1;1
23;870;Tidak Ada;1;1
197;8572;Tidak Ada;1;1
197;8573;Tidak Ada;1;1
197;8574;Tidak Ada;1;1
23;871;Tidak Ada;1;1
197;8575;Tidak Ada;1;1
23;872;Tidak Ada;1;1
197;8578;Tidak Ada;1;2
22;847;Tidak Ada;1;2
197;8579;Tidak Ada;1;1
197;8580;Tidak Ada;1;1
197;8581;Tidak Ada;1;1
22;848;Tidak Ada;1;1
23;873;Ducati;1;1
22;849;Tidak Ada;1;1
100;4134;Tidak Ada;1;2
23;874;Tidak Ada;1;1
199;8666;Gerakan Stop Perkawinan Anak;1;2
22;850;Tidak Ada;1;1
199;8667;Tidak Ada;1;1
199;8668;UNICEF;1;1
199;8669;Perserikatan Bangsa-Bangsa \(PBB\);1;1
199;8670;Tidak Ada;1;1
199;8671;UNICEF;1;1
199;8672;Kementerian Pemberdayaan Perempuan dan Perlindunga;1;2
199;8673;Tidak Ada;1;2
199;8674;Tidak Ada;1;1
199;8675;Tidak Ada;1;2
199;8675;Tidak Ada;1;2
199;8676;Tidak Ada;1;1
199;8677;Tidak Ada;1;1
22;810;Tidak Ada;1;2
199;8678;Tidak Ada;1;1
199;8679;Kementerian PPPA;1;2
199;8680;Gerakan Stop Perkawinan Anak;1;2
199;8681;Tidak Ada;1;1
199;8682;Kementerian PPPA;1;2
199;8683;Tidak Ada;1;1
199;8684;Tidak Ada;1;2
199;8685;Tidak Ada;1;2
199;8686;Badan Pusat Statistik \(BPS\);1;1
199;8687;Tidak Ada;1;1
199;8688;Tidak Ada;1;1
199;8689;Tidak Ada;1;1
199;8690;Tidak Ada;1;1
199;8691;Tidak Ada;1;1
199;8692;Kementerian PPPA;1;2
199;8693;Tidak Ada;1;1
199;8694;Tidak Ada;1;1
199;8695;Tidak Ada;1;1
22;811;Tidak Ada;1;1
