id_money;id_berita;id_kalimat;money;isValid
1;15;590;Tidak Ada;1
2;15;579;Tidak Ada;1
3;15;580;Tidak Ada;1
4;15;581;Rp20.927;1
5;15;583;Rp17.218;1
6;15;583;Rp15.650;1
7;15;583;Rp15.311;1
8;15;587;Rp353;1
9;15;588;Rp627;1
10;15;588;Rp1.249;1
11;15;590;murah,;0
12;3;92;Tidak Ada;1
13;3;93;Tidak Ada;1
14;3;94;Tidak Ada;1
15;15;579;Tidak Ada;1
16;3;95;Tidak Ada;1
17;3;96;Tidak Ada;1
18;3;97;Tidak Ada;1
19;15;590;Tidak Ada;1
20;15;579;Tidak Ada;1
21;15;580;Tidak Ada;1
22;15;581;Rp20.927;1
23;15;583;Rp17.218;1
24;15;583;Rp15.650;1
25;15;583;Rp15.311;1
26;15;587;Rp353;1
27;15;588;Rp627;1
28;15;588;Rp1.249;1
29;3;92;Tidak Ada;1
30;3;93;Tidak Ada;1
31;3;94;Tidak Ada;1
32;3;95;Tidak Ada;1
33;3;96;Tidak Ada;1
34;3;97;Tidak Ada;1
35;23;851;Tidak Ada;1
36;3;98;Tidak Ada;1
37;3;99;Tidak Ada;1
38;3;100;Tidak Ada;1
39;3;101;Tidak Ada;2
40;3;102;Tidak Ada;1
41;3;103;Tidak Ada;1
42;3;104;Tidak Ada;1
43;3;105;Tidak Ada;1
44;15;590;Tidak Ada;1
45;3;106;Tidak Ada;1
46;15;579;Tidak Ada;1
47;15;580;Tidak Ada;1
48;15;581;Rp20.927;1
49;3;107;Tidak Ada;1
50;3;108;Tidak Ada;1
51;15;583;Rp17.218;1
52;15;583;Rp15.650;1
53;15;583;Rp15.311;1
54;3;109;Rp50 juta;1
55;15;587;Rp353;1
56;3;110;Tidak Ada;1
57;15;588;Rp627;1
58;15;588;Rp1.249;1
59;15;588;Tidak Ada;0
60;3;111;Tidak Ada;1
61;3;92;Tidak Ada;1
62;3;112;Tidak Ada;1
63;3;113;Tidak Ada;1
64;3;114;Tidak Ada;1
65;3;115;Tidak Ada;2
66;3;116;Tidak Ada;1
67;3;117;Tidak Ada;1
68;3;118;Tidak Ada;1
69;109;4445;Tidak Ada;1
70;109;4446;Tidak Ada;1
71;109;4447;Tidak Ada;1
72;21;777;Tidak Ada;1
73;21;778;Tidak Ada;1
74;21;779;Tidak Ada;1
75;21;780;Tidak Ada;1
76;21;781;Tidak Ada;1
77;21;782;Tidak Ada;1
78;21;783;Tidak Ada;1
79;21;784;Tidak Ada;1
80;21;785;Tidak Ada;1
81;21;786;Tidak Ada;1
82;21;787;Tidak Ada;1
83;21;788;Tidak Ada;1
84;21;789;Tidak Ada;1
85;21;790;Tidak Ada;1
86;21;791;Tidak Ada;1
87;21;792;Tidak Ada;1
88;21;793;Tidak Ada;1
89;21;794;Tidak Ada;1
90;21;795;Tidak Ada;1
91;21;796;Tidak Ada;1
92;21;797;Tidak Ada;1
93;21;798;Tidak Ada;1
94;21;799;Tidak Ada;1
95;21;800;Tidak Ada;1
96;21;801;Tidak Ada;1
97;21;802;Tidak Ada;1
98;23;852;Tidak Ada;1
99;23;853;Tidak Ada;1
100;23;854;Tidak Ada;1
101;23;855;Tidak Ada;1
102;23;856;Tidak Ada;1
103;23;857;Tidak Ada;1
104;23;858;Tidak Ada;1
105;23;859;Tidak Ada;1
106;23;860;Tidak Ada;1
107;109;4445;Tidak Ada;1
108;109;4446;Tidak Ada;1
109;109;4447;Tidak Ada;1
110;109;4448;Tidak Ada;1
111;109;4449;Tidak Ada;1
112;109;4450;Tidak Ada;1
113;23;861;Tidak Ada;1
114;109;4451;Tidak Ada;1
115;109;4452;Tidak Ada;1
116;109;4453;Tidak Ada;1
117;23;862;Tidak Ada;1
118;23;863;Tidak Ada;1
119;23;864;Tidak Ada;1
120;23;865;Tidak Ada;1
121;23;866;Tidak Ada;1
122;23;867;Tidak Ada;1
123;23;868;Tidak Ada;1
124;23;869;Tidak Ada;1
125;35;1566;Tidak Ada;1
126;35;1567;Tidak Ada;1
127;35;1568;Tidak Ada;1
128;35;1569;Tidak Ada;1
129;197;8572;Tidak Ada;1
130;22;842;Tidak Ada;1
131;22;843;Tidak Ada;1
132;22;844;Tidak Ada;1
133;22;845;Tidak Ada;1
134;22;846;Tidak Ada;1
135;23;870;Tidak Ada;1
136;197;8572;Tidak Ada;1
137;197;8573;Tidak Ada;1
138;197;8574;Tidak Ada;1
139;23;871;Tidak Ada;1
140;23;872;Tidak Ada;1
141;197;8575;Tidak Ada;1
142;197;8578;Tidak Ada;1
143;197;8579;Tidak Ada;1
144;197;8580;Tidak Ada;1
145;197;8581;Tidak Ada;1
146;22;847;Tidak Ada;1
147;23;873;Tidak Ada;1
148;22;848;Tidak Ada;1
149;22;849;Tidak Ada;1
150;100;4134;Tidak Ada;1
151;23;874;Tidak Ada;1
152;22;850;Tidak Ada;1
153;199;8666;Tidak Ada;1
154;199;8667;Tidak Ada;1
155;199;8668;Tidak Ada;1
156;199;8669;Tidak Ada;1
157;199;8670;Tidak Ada;1
158;199;8671;Tidak Ada;1
159;199;8672;Tidak Ada;1
160;199;8673;Tidak Ada;1
161;199;8674;Tidak Ada;1
162;199;8675;Tidak Ada;1
163;199;8676;Tidak Ada;1
164;199;8677;Tidak Ada;1
165;22;810;Tidak Ada;1
166;199;8678;Tidak Ada;1
167;199;8679;Tidak Ada;1
168;199;8680;Tidak Ada;1
169;199;8681;Tidak Ada;1
170;199;8682;Tidak Ada;1
171;199;8683;Tidak Ada;1
172;199;8684;Tidak Ada;1
173;199;8685;Tidak Ada;1
174;199;8686;Tidak Ada;1
175;199;8687;Tidak Ada;1
176;199;8688;Tidak Ada;1
177;199;8689;Tidak Ada;1
178;199;8690;Tidak Ada;1
179;199;8691;Tidak Ada;1
180;199;8692;Tidak Ada;1
181;199;8693;Tidak Ada;1
182;199;8694;Tidak Ada;1
183;199;8695;Tidak Ada;1
184;22;811;Tidak Ada;1
185;199;8696;Tidak Ada;1
186;22;812;Tidak Ada;1
187;22;813;Tidak Ada;1
188;199;8697;Tidak Ada;1
189;199;8698;Tidak Ada;2
190;22;814;Tidak Ada;1
191;199;8699;Tidak Ada;2
192;199;8700;Tidak Ada;2
193;199;8701;Tidak Ada;2
194;199;8702;Tidak Ada;2
195;199;8703;Tidak Ada;2
196;199;8704;Tidak Ada;2
197;22;815;Tidak Ada;2
198;199;8705;Tidak Ada;2
199;199;8706;Tidak Ada;2
200;199;8707;Tidak Ada;2
201;199;8708;Tidak Ada;2
202;199;8709;Tidak Ada;2
203;199;8710;Tidak Ada;2
204;199;8711;Tidak Ada;2
205;199;8712;Tidak Ada;2
206;199;8713;Tidak Ada;2
207;22;816;Tidak Ada;2
208;199;8714;Tidak Ada;2
209;22;817;Tidak Ada;2
210;199;8715;Tidak Ada;2
211;199;8716;Tidak Ada;2
212;199;8717;Tidak Ada;2
213;199;8718;Tidak Ada;2
214;199;8719;Tidak Ada;2
215;199;8720;Tidak Ada;2
216;199;8721;Tidak Ada;2
217;199;8722;Tidak Ada;2
218;199;8723;Tidak Ada;2
219;199;8724;Tidak Ada;2
220;199;8725;Tidak Ada;2
221;199;8726;Tidak Ada;2
222;199;8727;Tidak Ada;2
223;215;9293;Tidak Ada;2
224;22;818;Tidak Ada;2
225;22;819;Tidak Ada;2
226;199;8666;Tidak Ada;2
227;199;8667;Tidak Ada;2
228;199;8668;Tidak Ada;2
229;199;8669;Tidak Ada;2
230;215;9263;Tidak Ada;2
231;199;8670;Tidak Ada;2
232;199;8670;Tidak Ada;2
233;215;9264;Tidak Ada;2
234;199;8671;Tidak Ada;2
235;199;8672;Tidak Ada;2
236;199;8673;Tidak Ada;2
237;199;8674;Tidak Ada;2
238;199;8675;Tidak Ada;2
239;215;9265;Tidak Ada;2
240;199;8676;Tidak Ada;2
241;215;9266;Tidak Ada;2
242;215;9267;Tidak Ada;2
