"id_topik";"id_berita";"id_kalimat";"nama_topik";"deskripsi";"id_subyek_topik";"isCorrect";"isValid";"id_submitter";"date_submit";"time_submit"
"1";"15";"590";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-17";"16:48:46"
"2";"15";"579";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-17";"16:58:55"
"3";"15";"580";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-17";"17:03:08"
"4";"15";"581";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-17";"17:04:11"
"5";"15";"583";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-17";"17:05:39"
"6";"15";"587";"Survei Sosial Ekonomi Nasional";"SUSENAS merupakan survei yang dirancang untuk mengumpulkan data sosial kependudukan yang relatif sangat luas. Data yang dikumpulkan antara lain menyangkut bidang-bidang pendidikan, kesehatan/gizi, perumahan, sosial ekonomi lainnya, kegiatan sosial budaya, konsumsi/pengeluaran dan pendapatan rumah tangga, perjalanan, dan pendapat masyarakat mengenai kesejahteraan rumah tangganya";"6";"1";"2";"2";"2017-11-17";"17:09:19"
"7";"15";"587";"SUSENAS";"SUSENAS merupakan survei yang dirancang untuk mengumpulkan data sosial kependudukan yang relatif sangat luas. Data yang dikumpulkan antara lain menyangkut bidang-bidang pendidikan, kesehatan/gizi, perumahan, sosial ekonomi lainnya, kegiatan sosial budaya, konsumsi/pengeluaran dan pendapatan rumah tangga, perjalanan, dan pendapat masyarakat mengenai kesejahteraan rumah tangganya";"6";"1";"2";"2";"2017-11-17";"17:09:28"
"8";"15";"588";"Tidak Ada";"Tidak Ada";"6";"1";"2";"2";"2017-11-17";"17:12:48"
"9";"3";"92";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-23";"14:10:35"
"10";"3";"93";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-28";"12:58:55"
"11";"3";"94";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-11-28";"15:39:20"
"12";"15";"579";"Tidak Ada";"Tidak Ada";"0";"1";"2";"4";"2017-12-01";"02:52:33"
"14";"3";"96";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-12-04";"15:55:37"
"15";"3";"97";"Tidak Ada";"Tidak Ada";"0";"1";"2";"2";"2017-12-04";"15:56:46"
"16";"15";"590";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:12:26"
"17";"15";"579";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:15:43"
"18";"15";"580";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:17:52"
"19";"15";"581";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:21:47"
"20";"15";"583";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:25:03"
"21";"15";"587";"pengeluaran terendah";;"14";"1";"2";"48";"2018-08-24";"02:29:49"
"22";"15";"588";"Tidak Ada";"Tidak Ada";"14";"1";"2";"48";"2018-08-24";"02:32:49"
"23";"3";"92";"Tidak Ada";"Tidak Ada";"14";"1";"2";"48";"2018-08-24";"02:40:55"
"24";"3";"93";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"02:47:06"
"25";"3";"94";"ajang modifikasi kendaraan sejenis";;"8";"1";"2";"48";"2018-08-24";"02:51:17"
"26";"3";"95";"Tidak Ada";"Tidak Ada";"8";"1";"2";"48";"2018-08-24";"02:54:30"
"27";"3";"96";"Tidak Ada";"Tidak Ada";"8";"1";"2";"48";"2018-08-24";"02:56:59"
"28";"3";"97";"Tidak Ada";"Tidak Ada";"8";"1";"2";"48";"2018-08-24";"02:58:47"
"29";"15";"590";"Tidak Ada";"Tidak Ada";"0";"1";"2";"53";"2018-08-24";"17:14:35"
"30";"23";"851";"balap MotoGP";;"15";"1";"2";"35";"2018-08-24";"19:38:11"
"31";"3";"98";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"20:45:57"
"32";"3";"99";"penerapan teknologi \(Advanced in technology\)";;"16";"1";"2";"48";"2018-08-24";"20:47:17"
"33";"3";"99";"penampilan sport \(Racing look\)";;"16";"1";"2";"48";"2018-08-24";"20:47:34"
"34";"3";"99";"penampilan ala mobil reli \(Rally look\)\.";;"16";"1";"2";"48";"2018-08-24";"20:47:59"
"35";"3";"100";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-24";"20:53:10"
"36";"3";"101";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-24";"20:54:23"
"37";"3";"102";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-24";"20:56:36"
"38";"3";"103";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-24";"20:59:26"
"39";"3";"104";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"21:03:02"
"40";"3";"105";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"22:14:30"
"41";"15";"590";"Tidak Ada";"Tidak Ada";"0";"1";"2";"32";"2018-08-24";"22:54:10"
"42";"3";"106";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"23:37:25"
"43";"15";"579";"Hiburan Berbayar";"Hiburan Berbayar";"8";"1";"2";"32";"2018-08-24";"23:37:31"
"44";"15";"580";"Biaya Hiburan";;"6";"1";"2";"32";"2018-08-24";"23:40:22"
"45";"15";"581";"Rerata pengeluaran rumah tangga";;"8";"1";"2";"32";"2018-08-24";"23:42:44"
"46";"15";"581";"Tidak Ada";"Tidak Ada";"0";"1";"2";"32";"2018-08-24";"23:42:52"
"47";"3";"107";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"23:43:43"
"48";"15";"583";"Posisi";;"6";"1";"2";"32";"2018-08-24";"23:46:28"
"49";"3";"108";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"23:46:31"
"50";"3";"109";"Tidak Ada";"Tidak Ada";"0";"1";"2";"48";"2018-08-24";"23:48:41"
"51";"15";"587";"Pengeluaran terendah";;"6";"1";"2";"32";"2018-08-24";"23:49:39"
"52";"3";"110";"kontes modifikasi";;"16";"1";"2";"48";"2018-08-24";"23:50:27"
"53";"15";"588";"Tidak Ada";"Tidak Ada";"0";"1";"2";"32";"2018-08-24";"23:52:33"
"54";"3";"111";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-24";"23:53:40"
"55";"3";"92";"Suasana Honda Jazz Brio Tuning Contest 2017\.";;"4";"1";"2";"32";"2018-08-24";"23:57:48"
"56";"3";"112";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:05:20"
"57";"3";"113";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:07:35"
"58";"3";"114";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:10:06"
"59";"3";"115";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:10:57"
"60";"3";"116";"teknologi terapan terbaik";;"16";"1";"2";"48";"2018-08-25";"00:12:27"
"61";"3";"116";"komposisi bawah kendaraan terbaik";;"16";"1";"2";"48";"2018-08-25";"00:12:40"
"62";"3";"116";"interior terbaik";;"16";"1";"2";"48";"2018-08-25";"00:12:50"
"63";"3";"117";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:15:34"
"64";"3";"118";"Tidak Ada";"Tidak Ada";"16";"1";"2";"48";"2018-08-25";"00:16:51"
"65";"109";"4445";"Film";"Poster film Nina Bobo untuk Bobby yang ditayangkan pada Tolerance Film Festival";"1";"1";"2";"31";"2018-08-25";"13:26:31"
"66";"109";"4446";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"13:35:59"
"67";"109";"4447";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"13:51:30"
"68";"21";"777";"Restoran HIV\+";"Restoran HIV+ pertama di Toronto, Kanada berusaha mengubah stigma terhadap pengidap HIV.";"7";"1";"2";"31";"2018-08-25";"14:31:50"
"69";"21";"778";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:33:47"
"70";"21";"779";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:35:32"
"71";"21";"780";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:37:23"
"72";"21";"781";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:42:37"
"73";"21";"782";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:44:40"
"74";"21";"783";"Tidak Ada";"Tidak Ada";"0";"1";"2";"31";"2018-08-25";"14:46:38"
